Metric,Bitcoin (BTC),Ethereum (ETH),BNB Chain (BNB),Cardano (ADA),Solana (SOL),Terra (LUNA),Avalanche (AVAX),Polkadot (DOT),Polygon (MATIC),Cosmos (ATOM),Algorand (ALGO),NEAR (NEAR)
Total Return,0.79,1.67,1.22,1.04,5.75,6.63,3.08,0.5,4.69,1.44,0.7,2.79
Standard Deviation,0.74,0.98,1.06,1.12,1.41,1.71,1.48,1.29,1.74,1.51,1.3,1.61
Max Drawdown,-0.53,-0.57,-0.61,-0.73,-0.7,-0.77,-0.75,-0.77,-0.72,-0.7,-0.71,-0.76
Peak,1.14,2.28,1.84,2.55,11.25,6.63,4.32,1.18,8.19,2.07,1.88,3.29
Sharpe Ratio,1.03,1.68,1.13,0.92,4.05,3.87,2.06,0.37,2.68,0.94,0.52,1.72
Sortino Ratio,1.54,2.45,1.52,1.51,6.48,6.33,3.28,0.54,5.33,1.45,0.83,2.99
Calmar Ratio,1.44,2.88,1.95,1.39,8.24,8.59,4.06,0.62,6.5,2.04,0.95,3.66
